audit,scene,m,theta,mean_tps_mean,mean_tps_std,mean_latency_mean,mean_latency_std,unsafe_rate_mean,unsafe_rate_std,timeout_rate_mean,timeout_rate_std,structural_infeasible_rate_mean,structural_infeasible_rate_std,eligible_size_mean,eligible_size_std,h_LCB_mean,h_LCB_std,committee_honest_ratio_mean,committee_honest_ratio_std,B_mean,B_std,S_mean,S_std,L_queue_mean,L_queue_std,L_batch_mean,L_batch_std,L_cons_mean,L_cons_std
m_theta_grid_malicious_burst,malicious_burst,5,0.45,1537.9113480201422,355.04200611599623,294.62076628688027,64.64175803795199,0.659375,0.05913694969682192,0.0,0.0,0.005208333333333333,0.008267972847076846,11.516666666666666,0.7315318782451583,0.6548315454274416,0.013749340485406006,0.9416145833333334,0.012062549474567459,384.0,0.0,252.72702151198826,2.407076968994552,188.80203124142997,59.45350734051451,2.1220895283801737,0.9495390846788369,24.571645517070145,0.25680642368129736
m_theta_grid_malicious_burst,malicious_burst,5,0.5,1556.2277675157034,380.5525578143092,291.85024904150237,64.83529813829756,0.646875,0.0690884974949601,0.0,0.0,0.005208333333333333,0.008267972847076846,9.83125,0.7627589496543308,0.661289843171835,0.014607898670174722,0.969375,0.013538461159066621,380.0,6.327365609442488,252.78640832294633,2.3942060913292305,187.61617510234336,58.88594734352787,2.1220895283801737,0.9495390846788369,24.486984410778835,0.22378483963944754
m_theta_grid_malicious_burst,malicious_burst,5,0.55,1591.29983767018,376.29706542349834,284.94130473960405,61.627491646993704,0.6041666666666667,0.07347996703561832,0.0,0.0,0.0062499999999999995,0.010825317547305485,8.70625,0.40060176089644617,0.666525872113804,0.01608904141373471,0.9750000000000001,0.011577036657874823,359.7333333333333,18.60370333502923,252.8411303855238,2.271422363277592,186.25610821570098,55.37986159395726,2.1220895283801737,0.9495390846788369,24.06310699552294,0.32471697575971803
m_theta_grid_malicious_burst,malicious_burst,5,0.6,1656.9617134038003,379.6601613645892,269.7922744643938,55.09360747141746,0.5427083333333333,0.07954269250255208,0.0,0.0,0.005208333333333333,0.008267972847076846,8.666666666666666,0.48979162235927787,0.6680792240425943,0.014613540540675395,0.97515625,0.012950120488231845,327.2,8.904430857100795,252.76594155762564,1.6849769018121779,179.15435518151165,49.12979120469072,2.1220895283801737,0.9495390846788369,23.39082975450198,0.24963681650094927
m_theta_grid_malicious_burst,malicious_burst,7,0.45,439.16537349296516,61.557197441784645,1058.2970129473456,90.28879130587335,0.8114583333333334,0.03678425746460327,0.0,0.0,0.02291666666666667,0.024206145913796353,10.33125,0.7587767705326777,0.603790975920856,0.005277934444771053,0.958812003968254,0.01600666833514531,366.0,9.228939989691854,226.7188309235073,2.153272167884045,931.2974796574309,86.63100165016054,0.5020667466598248,0.1709031763417123,29.12246654325481,0.580404611573605
m_theta_grid_malicious_burst,malicious_burst,7,0.5,481.34843460233805,69.14812137458046,850.7440978514642,95.96328517124124,0.790625,0.04338888666595526,0.0,0.0,0.02395833333333333,0.024803918541230534,9.326041666666667,0.6115133422161235,0.6102154876415928,0.00575021568428389,0.972748015873016,0.012424687298514212,330.26666666666665,11.853175851972242,235.74120544649617,2.711496259625645,728.6104010927526,91.34622340216882,0.5020667466598248,0.1709031763417123,26.75663001205184,0.7976358223578849
m_theta_grid_malicious_burst,malicious_burst,7,0.55,536.3430163302263,76.00113081390981,683.457394097351,88.31450863588601,0.7833333333333333,0.04208127057650864,0.0,0.0,0.02395833333333333,0.024803918541230534,9.157291666666666,0.6848615723369863,0.6111200438812375,0.005694724308554566,0.9784920634920635,0.012365744118895938,300.1333333333333,6.3090763543045325,242.59383208399612,2.4238374600497754,564.1902707569407,85.50901306348055,0.5020667466598248,0.1709031763417123,24.765056593750515,0.5851431908563894
m_theta_grid_malicious_burst,malicious_burst,7,0.6,596.0954374711234,59.116473455985165,570.7969164050306,40.455964522536526,0.765625,0.04049123276161834,0.0,0.0,0.02291666666666667,0.024206145913796353,8.942708333333332,0.5805654197394317,0.613712829289337,0.0058097976655995245,0.9839583333333334,0.012718575107997662,286.53333333333336,5.540958601381372,245.72431521927797,1.256591127222817,454.5261689357609,40.07934681788084,0.5020667466598248,0.1709031763417123,23.89368072261005,0.2996112291421636
m_theta_grid_malicious_burst,malicious_burst,9,0.45,219.2536208792645,23.134578970633147,1602.030724859582,212.5776810307114,0.8791666666666668,0.031457643480294784,0.0,0.0,0.025,0.02568505834570407,10.053125,0.7640687130513125,0.5935212250178059,0.0048632973004614916,0.965480324074074,0.014140353526503877,328.8,11.234866364235142,215.10372023297407,5.534881930211542,1465.665183475664,210.828781023637,0.2919551846907995,0.09809661033950276,30.57358619922733,1.3031515387443524
m_theta_grid_malicious_burst,malicious_burst,9,0.5,278.0818502357094,44.730884302589146,1134.7482197092884,212.10275203787023,0.8666666666666667,0.022047927592204947,0.0,0.0,0.028125,0.02665934144181193,9.491666666666667,0.5593740301046837,0.5977716804171602,0.005050037876039126,0.9746875,0.011355617757539627,297.73333333333335,10.89668655040503,231.1984022430198,5.6377000502435415,1003.6159963637738,209.8610125904087,0.2919551846907995,0.09809661033950276,26.84026816082368,1.298935549670327
m_theta_grid_malicious_burst,malicious_burst,9,0.55,336.9266627685703,39.52264012583987,870.9043131655728,125.38022207704294,0.8541666666666667,0.02602082499332666,0.0,0.0,0.028125,0.02665934144181193,9.267708333333333,0.5906011165071096,0.5993143111467362,0.005233956022626152,0.9800810185185185,0.010394878189955815,282.66666666666663,7.035149844412232,239.07743378756436,3.459590917182093,743.0294794326251,125.13552465539846,0.2919551846907995,0.09809661033950276,25.082878548256943,0.7164938911561721
m_theta_grid_malicious_burst,malicious_burst,9,0.6,398.71296161572366,50.35070892160701,715.2312410390314,103.09437004511334,0.84375,0.02525907427704613,0.0,0.0,0.026041666666666668,0.02549424635525087,9.1125,0.7264712084223757,0.5999741166830063,0.005269542351998186,0.9873090277777778,0.011802070053276166,275.2,3.919183588453081,242.9567409147383,2.3918351882267483,589.5032823286151,102.07185683777928,0.2919551846907995,0.09809661033950276,24.186003525725376,0.6209119599130146
